ZCTA5,TRACT
94607,402500
94605,409700
94609,400600
94609,400700
94609,401000
94605,409900
94610,403800
94619,430102
94606,405500
94610,403900
94607,402600
94607,402700
94606,405402
94607,983200
94607,403000
94607,410500
94606,405401
94609,400300
94621,407300
94609,400500
94606,405600
94606,405700
94606,405800
94607,403300
94610,403501
94607,401600
94607,401800
94607,402200
94607,402400
94607,982000
94601,406500
94601,407101
94601,407102
94601,407200
94610,405200
94601,407700
94602,404600
94602,404700
94602,404800
94609,401200
94609,401300
94607,401400
94607,401700
94610,403701
94610,403702
94610,404000
94607,403100
94606,406400
94605,407800
94605,408200
94605,408300
94605,408400
94605,408500
94605,408700
94619,406800
94605,409800
94619,407600
94601,407500
94606,405301
94606,405302
94621,408600
94606,405901
94606,405902
94601,407400
94606,406300
94621,409600
94609,400400
94606,406100
94610,403400
94610,403502
94610,403600
94610,405000
94610,405100
94610,426100
94610,426200
94611,400100
94611,404101
94611,404102
94611,404400
94611,404501
94611,404502
94602,408000
94603,409000
94603,410200
94610,404900
94605,408100
94618,404200
94618,404300
94618,423800
94619,406601
94619,406900
94619,407000
94619,407900
94606,406000
94621,409400
94621,409500
94607,981900
94609,423901
94612,402800
94603,409200
94603,409300
94618,400200
94602,406700
94603,409100
94603,410400
94605,410000
94605,410100
94621,408900
94612,402900
94603,410300
94601,406201
94609,401100
94602,406602
94601,406202
94621,408800
